Timestamp,Bid Close,Ask Close,sym,duration
2017.03.24D16:18:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D16:17:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D16:16:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D16:15:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D16:14:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D16:13:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D16:12:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D16:11:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D16:10:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D16:09:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D16:08:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D16:06:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D16:05:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D16:02:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D16:01:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D16:00:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:59:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:57:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:53:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D15:52:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D15:51:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D15:50:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D15:45:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D15:44:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D15:43:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D15:42:00.000000000,99.6875,99.6953125,US5YT=RR,4.672
2017.03.24D15:41:00.000000000,99.6796875,99.6875,US5YT=RR,4.672
2017.03.24D15:40:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:39:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:37:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:36:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:35:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:34:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:33:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:32:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:31:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:30:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:29:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:28:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
